comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,label
4.141426,5.357708,3.9164448,1.9359462,1.3536435,6.752541,0.9528657,4.644433,1012057_F.jpg
4.8382044,5.9911394,4.3129864,2.1826565,1.638609,7.769006,1.2893665,5.077491,1012058_F.jpg
6.522221,4.896537,6.418845,1.9224668,1.6694807,8.596381,2.338283,4.8973236,1012059_F.jpg
3.2379575,4.015432,3.138605,1.472407,1.0798588,5.1525307,0.891541,3.26112,1012060_F.jpg
3.5706544,2.7009861,3.2604308,1.1847014,1.4619173,4.6025887,1.4792197,2.6921005,1012061_F.jpg
3.4868307,2.7584145,3.2864232,1.0940177,1.3151523,4.66078,1.4049594,2.6462407,1012062_F.jpg
3.9144192,2.807151,3.3464227,1.5405874,1.9530396,4.918748,1.7442755,3.2243404,1012063_F.jpg
4.6066074,4.0280566,4.1208158,1.7184169,1.9051893,6.07372,1.7109923,4.2663774,1012066_F.jpg
4.8078165,4.0123715,4.4577427,1.7268322,1.8504086,6.2264566,1.8770272,4.345772,1012067_F.jpg
5.6402817,5.0320945,5.270092,2.2485456,1.9159467,8.934086,2.2885566,5.197915,1012068_F.jpg
4.6939445,4.6317453,4.5996895,1.9570568,1.5858562,7.9774914,1.7836809,4.440213,1012069_F.jpg
3.6443906,3.4023595,3.8193316,1.3913422,1.325745,5.967462,1.4074569,3.3299875,1012070_F.jpg
5.9505253,4.7167244,5.506827,2.1011024,1.842267,8.720617,2.1097658,5.103698,1012071_F.jpg
5.6070013,5.150638,5.3633738,2.2920687,1.8821554,8.921465,2.1203485,5.3988647,1012072_F.jpg
4.88267,4.182623,4.807927,1.7528813,1.5604022,7.783386,1.7936931,4.341647,1012073_F.jpg
4.9130096,3.8761048,4.742128,1.8384624,1.9045255,7.041437,1.9780848,4.382762,1012074_F.jpg
5.497425,4.7367563,5.0582457,2.206051,2.0440881,8.310688,2.0740461,5.197775,1012075_F.jpg
4.8361964,3.9522643,4.781063,1.6710258,1.535072,7.2050533,1.7872729,4.1954136,1012076_F.jpg
6.8613057,5.5005903,6.339719,2.5697408,2.0102572,9.3365555,2.4597864,6.2270913,1012079_F.jpg
4.3883133,4.2475,3.9752252,1.891216,1.764446,6.893107,1.5588197,4.3418827,1012080_F.jpg
3.7562099,2.9355958,3.8035676,1.3133035,1.5073471,5.0736446,1.6085958,3.0894613,1012082_F.jpg
4.197589,3.663672,4.374167,1.5004604,1.4369017,5.953349,1.7200749,3.7771268,1012083_F.jpg
3.942639,3.5596876,3.9420247,1.4678773,1.4550399,6.1965466,1.4077699,3.6176713,1012085_F.jpg
4.5180597,4.9396806,4.2450104,2.066595,1.7601591,7.741044,1.569915,4.9563236,1012086_F.jpg
